Tite,Year,Certification,duration,genre,rating
Pretty Little Liars,2010,TV-MA,44,Drama,7.4
Mindhunter,2017,TV-14,60,Crime,8.6
"Murder, She Wrote",1984,TV-MA,50,Crime,7.1
From,2022,TV-PG,52,Drama,7.6
Spiderhead,2022,TV-MA,106,Action,5.4
CSI: Crime Scene Investigation,2000,R,60,Crime,7.7
Evil,2019,TV-14,42,Crime,7.7
The Lincoln Lawyer,2022,TV-14,60,Crime,7.7
Arrested Development,2003,TV-MA,22,Comedy,8.7
Heartland,2007,TV-14,45,Drama,8.4
Mo,2022,TV-PG,30,Comedy,7.6
Inventing Anna,2022,TV-MA,65,Drama,6.8
It,2017,TV-MA,135,Horror,7.3
Narcos,2015,R,49,Biography,8.8
The Sinner,2017,TV-MA,45,Crime,7.9
Homeland,2011,TV-MA,55,Crime,8.3
The Haunting of Hill House,2018,TV-MA,572,Drama,8.6
Doc Martin,2004,TV-MA,46,Comedy,8.4
Hawaii Five-0,2010,TV-14,42,Action,7.4
Star Trek: The Original Series,1966,TV-14,50,Action,8.4
The Next 365 Days,2022,TV-PG,112,Drama,2.7
Don't Look Up,2021,TV-MA,138,Comedy,7.2
Murdoch Mysteries,2008,R,48,Crime,8.2
The Good Wife,2009,TV-PG,43,Crime,8.4
Shadow and Bone,2021,TV-14,60,Action,7.6
Sex/Life,2021,TV-14,45,Comedy,5.4
Gladiator,2000,TV-MA,155,Action,8.5
The Punisher,2017,R,53,Action,8.5
Midnight Mass,2021,TV-MA,450,Drama,7.7
"Roswell, New Mexico",2019,TV-MA,45,Drama,6.2
Taxi Driver,1976,TV-14,114,Crime,8.2
Teen Wolf,2011,R,41,Action,7.7
Vikings: Valhalla,2022,TV-14,51,Action,7.2
New Amsterdam,2018,TV-MA,43,Drama,8
Léon: The Professional,1994,TV-14,110,Action,8.5
Arrow,2012,R,42,Action,7.5
The Good Nurse,2022,TV-14,121,Biography,7.8
The Good Place,2016,R,22,Comedy,8.2
Agents of S.H.I.E.L.D.,2013,TV-PG,45,Action,7.5
Mother!,2017,TV-PG,121,Drama,6.6
Hustle,2022,R,117,Comedy,7.3
Terim,2022,R,,Documentary,7
365 Days: This Day,2022,TV-14,111,Drama,2.6
Cheers,1982,TV-MA,22,Comedy,7.9
Line of Duty,2012,TV-PG,60,Crime,8.7
Pieces of Her,2022,TV-14,52,Crime,6.3
The Departed,2006,TV-MA,151,Crime,8.5
Star Wars: The Clone Wars,2008,R,23,Animation,8.4
Star Trek: Deep Space Nine,1993,TV-PG,45,Action,8.1
Spider-Man,2002,TV-PG,121,Action,7.4
Santo,2022,PG-13,45,Action,5
Delhi Crime,2019,TV-MA,50,Crime,8.5
JoJo's Bizarre Adventure,2012,TV-MA,30,Animation,8.4
House of Cards,2013,TV-14,51,Drama,8.7
American Crime Story,2016,TV-MA,42,Biography,8.4
Beauty and the Beast,2017,TV-MA,129,Adventure,7.1
Dynasty,2017,PG,42,Drama,7.2
Glee,2009,TV-14,44,Comedy,6.8
Brooklyn,2015,TV-PG,117,Drama,7.5
The Americans,2013,PG-13,44,Crime,8.4
Gotham,2014,TV-MA,42,Action,7.8
Gossip Girl,2007,TV-14,42,Drama,7.5
Gone Girl,2014,TV-14,149,Drama,8.1
The Tudors,2007,R,60,Drama,8.1
Twin Peaks,1990,TV-MA,47,Crime,8.8
The Poison Rose,2019,TV-MA,98,Crime,4.7
Avatar: The Last Airbender,2005,R,23,Animation,9.3
Hannibal,2013,TV-Y7-FV,44,Crime,8.5
Star Trek: Voyager,1995,TV-14,44,Action,7.8
NCIS: Los Angeles,2009,TV-PG,43,Action,6.7
Persuasion,2022,TV-14,108,Drama,5.7
Good Girls,2018,PG,43,Comedy,7.7
Dated and Related,2022,TV-14,,Reality,4.3
Jogi,2022,TV-MA,116,Drama,7.5
How to Get Away with Murder,2014,TV-MA,43,Crime,8.1
Uncoupled,2022,TV-14,30,Comedy,7
Longmire,2012,TV-MA,60,Action,8.3
The Anthrax Attacks,2022,TV-14,94,Documentary,6.2
White Collar,2009,TV-MA,40,Comedy,8.3
White Noise,2022,TV-PG,136,Comedy,5.9
After Life,2019,,30,Comedy,8.4
Outer Banks,2020,TV-MA,50,Action,7.6
Derry Girls,2018,R,30,Comedy,8.5
El Camino: A Breaking Bad Movie,2019,TV-MA,122,Action,7.3
Anatomy of a Scandal,2022,TV-MA,268,Drama,7
A Knight's Tale,2001,TV-MA,132,Action,6.9
Baywatch,2017,PG,116,Action,5.5
Broad Peak,2022,R,101,Adventure,5.9
Grimm,2011,TV-MA,45,Crime,7.8
The Sea Beast,2022,TV-14,115,Animation,7.1
Operation Mincemeat,2021,PG,128,Drama,6.6
Alchemy of Souls,2022,PG-13,80,Action,8.7
Chip 'n Dale: Rescue Rangers,2022,Approved,97,Animation,7
Wedding Season,2022,PG,98,Comedy,6.3
Black Sails,2014,TV-PG,56,Action,8.2
Knock Knock,2015,TV-MA,99,Drama,4.9
Elementary,2012,R,60,Crime,7.9
13 Reasons Why,2017,TV-14,60,Drama,7.5
Maid,2021,TV-MA,545,Drama,8.4
The King,2019,TV-MA,140,Biography,7.3
The Adam Project,2022,R,106,Action,6.7
Top Boy,2011,PG-13,60,Crime,8.4
Emily in Paris,2020,TV-MA,30,Comedy,6.9
Grease,1978,TV-MA,110,Comedy,7.2
Sicario,2015,PG,121,Action,7.6
The Devil All the Time,2020,R,138,Crime,7.1
Little Women,2022,R,,Action,8.6
The Fall,2013,TV-14,60,Crime,8.1
Elite,2018,TV-MA,60,Crime,7.4
Legally Blonde,2001,TV-MA,96,Comedy,6.4
2001: A Space Odyssey,1968,PG-13,149,Adventure,8.3
The Little Things,2021,G,128,Crime,6.3
The Guilty,2021,R,90,Crime,6.3
Naruto,2002,R,24,Animation,8.4
Broadchurch,2013,TV-PG,48,Crime,8.4
Scorpion,2014,TV-MA,43,Action,7
Spirited Away,2001,TV-14,125,Animation,8.6
Adventure Time,2010,PG,11,Animation,8.6
Dead to Me,2019,TV-PG,30,Comedy,8
The Nice Guys,2016,TV-MA,116,Action,7.3
Designated Survivor,2016,R,60,Action,7.5
Dracula,2020,TV-14,270,Action,6.8
Narcos: Mexico,2018,TV-14,50,Crime,8.4
300,2006,TV-MA,117,Action,7.6
That's Amor,2022,R,96,Comedy,5.2
Resident Evil,2022,TV-14,60,Action,4
Ginny & Georgia,2021,TV-MA,,Comedy,7.4
Grace and Frankie,2015,TV-14,30,Comedy,8.2
The Man from Toronto,2022,TV-MA,110,Action,5.8
Snowpiercer,2020,PG-13,60,Action,6.9
The Killing,2011,TV-MA,45,Crime,8.3
The Power of the Dog,2021,TV-14,126,Drama,6.8
Baby Driver,2017,R,113,Action,7.6
The Haunting of Bly Manor,2020,R,494,Drama,7.3
My Hero Academia,2016,TV-MA,24,Animation,8.4
Arrival,2016,TV-14,116,Drama,7.9
Dead Poets Society,1989,PG-13,128,Comedy,8.1
The House,2022,PG,97,Animation,6.8
Skins,2007,TV-MA,46,Drama,8.2
Bardo,2022,TV-MA,174,Comedy,6.7
Wendell & Wild,2022,R,105,Animation,7.5
The Woman in the House,2022,PG-13,208,Comedy,6.4
Kill Bill: Vol. 1,2003,TV-MA,111,Action,8.2
Behind Her Eyes,2021,R,298,Drama,7.2
Bleach,2004,TV-MA,24,Animation,8.2
Uncut Gems,2019,TV-14,135,Crime,7.4
Annihilation,2018,R,115,Adventure,6.8
The Mummy,2017,R,110,Action,5.4
Orphan Black,2013,PG-13,44,Drama,8.3
Altered Carbon,2018,TV-MA,60,Action,7.9
Supergirl,2015,TV-MA,43,Action,6.2
Zero Dark Thirty,2012,TV-PG,157,Drama,7.4
The Irishman,2019,R,209,Biography,7.8
Jurassic World: Fallen Kingdom,2018,R,128,Action,6.1
Big Mouth,2017,PG-13,30,Animation,7.9
Chilling Adventures of Sabrina,2018,TV-MA,60,Drama,7.4
Death Note,2006,TV-14,24,Animation,9
Booksmart,2019,TV-14,102,Comedy,7.1
Untitled Super Mario Project,1994,R,50,Drama,7.8
The Revenant,2017,,25,Adventure,8.1
Red Notice,2015,TV-MA,156,Action,8
Jessica Jones,2021,R,118,Action,6.3
Frozen,2015,PG-13,56,Action,7.9
Anne with an E,2013,TV-MA,102,Animation,7.4
Jane the Virgin,2017,PG,60,Drama,8.7
Incantation,2014,TV-PG,60,Comedy,7.9
