Tite,Year,Certification,duration,genre,rating
Mai,2022,TV-MA,44,Drama,6.2
The Eddy,2016,TV-MA,28,Comedy,7
Servant of the People,2021,TV-MA,112,Comedy,4.7
Freud,2016,TV-14,258,Drama,7.1
Spectral,2021,TV-MA,142,Drama,5.6
Haseen Dillruba,2018,TV-MA,97,Drama,4.8
Spaceman,2022,,45,Drama,6.3
Premium Rush,2022,TV-MA,147,Comedy,7.1
Step Up Revolution,2017,,105,Drama,6.8
The Sleepover,1988,TV-MA,92,Comedy,8.7
Skylines,2020,TV-14,96,Thriller,5.3
Kakegurui,2019,TV-14,100,Drama,5.4
The Tale of The Princess Kaguya,2017,,30,Family,7.2
Dear White People,2020,TV-Y7,56,Crime,6.7
Beyond Evil,2000,TV-MA,24,Animation,7.9
Suburra: Blood on Rome,1992,TV-14,94,Animation,7.7
Into the Forest,2022,PG,45,Crime,7.2
The Professor,2020,TV-MA,,Drama,7.1
Wild Wild Country,2015,TV-MA,28,Comedy,7.3
The Perfect Date,2020,TV-MA,55,Crime,6.5
Untitled Hulk Hogan Biopic,2016,TV-MA,107,Action,6.3
A Fall from Grace,2021,PG-13,135,Crime,6.9
Touch,2016,TV-MA,30,Comedy,8.1
Untold: Operation Flagrant Foul,2012,,91,Action,6.5
Bad Trip,2012,PG-13,99,Drama,6.4
Backstreet Rookie,2020,PG-13,100,Action,5.6
Glória,2020,TV-PG,113,Action,4.7
Rescued by Ruby,2017,R,24,Animation,7.2
Great News,2022,TV-14,100,Animation,6.3
Sabotage,2013,TV-PG,137,Animation,8
"Ada Twist, Scientist",2017,PG,30,Comedy,6.1
Cargo,2021,TV-MA,118,Thriller,5
That Girl Lay Lay,2021,TV-MA,70,Drama,8.1
Entrevías,2017,,50,Action,7.9
America: The Motion Picture,2015,TV-MA,101,Drama,5.8
Our Father,2018,R,90,Comedy,6.7
Laggies,2018,R,403,Documentary,8.1
Wasp Network,2019,TV-MA,89,Comedy,5.8
Move to Heaven,2020,,120,Thriller,5.8
Alvin and the Chipmunks: The Squeakquel,2012,TV-MA,43,Drama,7.3
Grand Army,2020,TV-PG,118,Biography,6.2
Fate/Zero,2022,R,76,Documentary,6.8
The I-Land,2021,TV-MA,86,Comedy,6.5
Suburbicon,2020,Unrated,60,Action,7.5
Invisible City,2021,,40,Drama,7.9
Forbidden Love,2022,TV-MA,90,Biography,7.1
6 Days,2017,TV-G,22,Comedy,7
Family Reunion,2014,TV-14,109,Action,5.7
The Penthouse: War in Life,2021,R,12,Animation,6.4
In for a Murder,2017,TV-PG,105,Drama,6.3
Quicksand,2021,TV-MA,22,Comedy,3.6
Cocomelon,2021,TV-G,79,Action,6.7
Untold: The Rise and Fall of AND1,2021,TV-MA,98,Animation,5.6
Mosul,2022,TV-MA,97,Documentary,6.5
Sky Rojo,2014,TV-MA,99,Comedy,6.4
My Little Pony: The Movie,2019,R,127,Crime,5.9
The Boys in the Band,2021,TV-MA,101,Comedy,5.7
A Very Long Engagement,2021,PG,60,Drama,8.6
The Kissing Booth 2,2009,TV-MA,88,Animation,4.5
Heirs,2020,PG,,Drama,7.5
Top Chef,2011,TV-MA,24,Animation,8.2
Bruised,2019,TV-MA,281,Adventure,4.6
Kung Fury,2017,TV-MA,105,Comedy,5.7
To All the Boys: Always and Forever,2021,R,60,Crime,7.2
House of Secrets: The Burari Deaths,2008,TV-G,90,Drama,7.6
Stonehearst Asylum,2017,TV-PG,94,Action,6.2
V-Wars,2019,R,28,Comedy,6.5
Good on Paper,2020,TV-PG,70,Crime,7.9
Life Unexpected,2021,,105,Comedy,5.4
RuPaul's Drag Race All Stars,2019,TV-14,45,Crime,7.4
Inside Man,2018,TV-MA,4,Animation,4.7
Much Loved,2022,TV-PG,68,Documentary,6.8
The Decline,2019,TV-MA,101,Action,7.1
Dead Man Down,2021,TV-MA,31,Action,6.5
Broken City,2017,TV-MA,99,Animation,6
Unauthorized Living,2020,PG,121,Drama,6.8
Romance Is a Bonus Book,2004,R,133,Drama,7.6
The Fundamentals of Caring,2020,R,134,Comedy,5.7
Kon-Tiki,2013,TV-14,55,Comedy,7.5
Creep 2,2006,,44,Game,7.6
Love/Hate,2020,TV-14,129,Drama,6.2
Tales from Earthsea,2015,R,31,Short,8
Yu Yu Hakusho: Ghost Files,2021,Not Rated,109,Comedy,6.3
The Repair Shop,2021,TV-14,135,Documentary,7.4
Running with the Devil,2014,TV-MA,112,Drama,6.8
Somebody Feed Phil,2019,PG-13,60,Drama,6
Philomena,2021,TV-MA,92,Comedy,5.6
Odd Squad,2010,Unrated,60,Drama,7.5
2067,2012,TV-PG,60,Game,8.5
Chernobyl: Abyss,2015,,104,Drama,6.2
Arifureta: From Commonplace to World's Strongest,2020,,83,Action,6
Ivy + Bean: The Ghost That Had to Go,2013,TV-MA,118,Action,6.4
Bhool Bhulaiyaa 2,2013,R,109,Action,6.1
Rim of the World,2018,R,75,Drama,7.4
American Murder: The Family Next Door,2019,TV-MA,62,Romance,8
When Marnie Was There,2016,,97,Comedy,7.3
Secret City,2012,TV-MA,118,Action,7.2
Look Who's Back,2017,PG-13,78,Crime,6.4
Double Team,2010,Not Rated,51,Crime,8.5
Mr. Iglesias,2006,,115,Animation,6.3
PJ Masks,1992,PG-13,24,Animation,8.5
Arbitrage,2017,TV-PG,30,Documentary,8.7
D.P.,2019,,100,Crime,5.4
Falling for Figaro,2018,R,60,Documentary,8.2
The Boy Who Harnessed the Wind,2013,TV-14,98,Biography,7.6
Space Sweepers,2014,PG-13,27,Action,7.1
A Man for All Seasons,2020,TV-Y,114,Mystery,4.9
Sexify,2020,Not Rated,105,Comedy,5.2
The Red Balloon,2021,TV-MA,136,Drama,5.1
Impetigore,2019,,23,Animation,7.1
The Last Kingdom: Seven Kings Must Die,2022,TV-MA,61,Comedy,6
Obliterated,2022,TV-G,143,Comedy,5.7
Teachers,2019,,98,Action,5.2
Beauty Inside,2020,TV-14,83,Documentary,7.2
A Castle for Christmas,2014,TV-MA,103,Animation,7.7
Beastars,2016,PG,49,Mystery,7.4
The Crew,2015,TV-MA,116,Comedy,7
Geronimo: An American Legend,1997,Not Rated,93,Action,4.8
Moonshine,2019,R,30,Comedy,7.1
Fi,2015,TV-14,24,Animation,5.3
Wanted,2012,TV-Y,107,Drama,6.6
The New Legends of Monkey,2021,R,50,Action,8.2
Inside Man: Most Wanted,2020,TV-MA,104,Comedy,6.4
Military Prosecutor Do Bae Man,2019,,113,Biography,7.6
S.W.A.T.: Under Siege,2021,TV-PG,136,Action,6.5
Unsolved Mysteries,1966,TV-MA,120,Biography,7.7
The Cat Returns,2021,G,40,Comedy,6.5
Frozen Planet,1956,TV-MA,34,Short,8.1
The Electric State,2019,Not Rated,106,Horror,6.6
Rurouni Kenshin Part I: Origins,2001,,50,Comedy,7.8
The Last Days of American Crime,2018,,70,Drama,7.6
Dash & Lily,2021,,98,Adventure,5.5
The Little Prince,2019,TV-G,23,Animation,7.7
The Double,2021,TV-MA,,Comedy,6.5
The Sound of Magic,1993,TV-14,115,Drama,6.5
The Bookshop,2021,PG-13,44,Comedy,5.7
Meteor Garden,2017,,60,Drama,7.8
Murder Mystery 2,2016,,60,Action,7.6
We Bare Bears,2018,TV-14,24,Action,6.5
The Old Ways,2019,TV-PG,105,Action,5.6
Hilda,2022,R,,Action,7.8
Traitors,2017,,89,Action,4.6
Falling Inn Love,2020,R,45,Documentary,7.3
An Astrological Guide for Broken Hearts,2002,TV-MA,75,Animation,7.2
14 Peaks: Nothing Is Impossible,2011,G,333,Documentary,9
Black Space,2017,,30,Action,6.6
Extraordinary You,2019,TV-Y7,133,Biography,7.3
Drunken Master,2012,PG-13,134,Action,7.4
Trinkets,2020,TV-MA,148,Action,3.7
Tiger King,2020,TV-MA,,Comedy,7.4
Little Things,2015,TV-14,108,Animation,7.7
Chen qing ling,2011,PG,98,Action,5.9
Carry On,2022,PG-13,70,Drama,7.7
Duck Butter,2017,TV-14,113,Drama,6.5
Brain on Fire,2018,PG,45,Drama,7.9
Marmaduke,2014,,30,Animation,7.9
Girlboss,2020,TV-PG,90,Drama,5.4
Water Lilies,2018,R,24,Animation,8.5
On the Verge,2019,TV-Y7,60,History,6.6
Honeymoon,2019,TV-MA,98,Comedy,5.6
The Letter for the King,2021,TV-PG,30,Comedy,7.1
From Up on Poppy Hill,2021,TV-14,101,Documentary,7.7
My Liberation Diary,2020,TV-MA,306,Crime,6.6
How NOT to Summon a Demon Lord,2020,TV-MA,45,Crime,6.7
Kidnapping Stella,2019,TV-MA,35,Comedy,7.8
Dragons: Race to the Edge,1978,,111,Action,7.4
Glow Up: Britain's Next Make-Up Star,2019,PG-13,30,Comedy,7
The Battle of Britain,2020,TV-MA,45,Documentary,7.5
Worst Roommate Ever,2016,TV-MA,16,Comedy,8.2
Final Score,2019,TV-MA,50,Action,8.8
The Real Housewives of New York City,2018,,93,Comedy,5.3
Ganglands,2016,Not Rated,88,Biography,6.6
Tau,2022,PG-13,109,Drama,3.9
Hit and Run,2022,TV-MA,88,Animation,3.5
Love on the Spectrum,2017,TV-Y7,26,Comedy,7
Penguin Bloom,2007,TV-MA,85,Drama,6.7
Buba,2021,,35,Comedy,6.5
All the Light We Cannot See,2014,TV-14,87,Drama,5.7
Malang,2020,R,,Action,5.9
The Pirates: The Last Royal Treasure,2011,TV-PG,91,Animation,7.4
Furioza,2022,PG,60,Drama,8.3
Scrooge: A Christmas Carol,2018,TV-14,24,Animation,7
Marauders,2019,TV-MA,89,Crime,4.9
Prison Playbook,2015,TV-MA,22,Animation,8.2
The Future Diary,2019,TV-Y7-FV,60,Game,6.9
The Wandering Earth,1969,TV-14,132,Action,6.9
The Paradise,2022,G,236,Documentary,7.1
Get Even,2018,TV-MA,104,Action,5.8
Surviving Summer,2021,R,,Crime,6.6
A Korean Odyssey,2008,TV-MA,44,Reality,4.6
Love Wedding Repeat,2021,TV-14,44,Action,7
Pieles,2018,TV-MA,97,Sci,5.8
Only Yesterday,2012,R,100,Action,6.1
An Affair,2021,R,70,Action,8
We Summon the Darkness,2019,,45,Documentary,8.6
The Principles of Pleasure,2020,TV-14,95,Biography,6.8
The Bar,2022,TV-14,94,Comedy,5.8
Ergo Proxy,2020,,135,Action,6.5
Pokémon Journeys: The Series,2022,Not Rated,126,Action,6.1
The Immigrant,2021,,139,Action,6.2
The Occupant,2016,,107,Action,5.5
A.N.T. Farm,2017,R,90,Comedy,8.5
Record of Ragnarok,2011,,25,Animation,7.5
Blippi,2019,TV-MA,125,Action,5.9
AJ and the Queen,2012,TV-MA,60,Drama,7.7
Car Masters: Rust to Riches,2020,TV-PG,28,Crime,6.4
The Willoughbys,2022,TV-PG,30,Drama,6.5
The Cook of Castamar,2017,TV-PG,75,Comedy,8
Signal,2020,,100,Comedy,5.5
Satan's Slaves,2017,TV-MA,77,Comedy,6.1
Wet Hot American Summer: Ten Years Later,1991,TV-MA,119,Animation,7.6
History 101,2018,PG,92,Drama,5.5
My Roommate Is a Gumiho,2019,,91,Horror,5.2
Who Likes My Follower?,2022,R,152,Documentary,5.8
The Mothership,2017,TV-MA,102,Adventure,6.3
Let It Snow,2022,,60,Crime,7.9
The House of Flowers,2006,TV-MA,25,Animation,7.9
Al Hayba,2019,TV-14,,Animation,6.9
Elisa & Marcela,2013,TV-Y7,120,Drama,6.6
Step Up All In,2014,R,231,Drama,7.1
Heirs to the Land,2020,,103,Adventure,6.4
The Ministry of Time,2011,TV-MA,30,Comedy,5
Q-Force,2021,TV-G,24,Animation,6.2
Love 101,2014,TV-14,11,Family,6.7
Squid Game: The Challenge,2020,TV-Y,52,Adventure,7.5
Fyre,2018,TV-14,40,Reality,8.4
Damnation,2020,TV-PG,90,Animation,6.3
Rogue City,2021,PG,,Drama,7.4
Work It,2016,TV-MA,80,Crime,8.5
Step Up 3D,2017,,107,Drama,6.5
Dorohedoro,2017,Not Rated,216,Comedy,6.9
Extracurricular,2020,TV-MA,22,Documentary,6.8
Her Private Life,2021,TV-14,65,Comedy,7.7
Breach,2022,,45,Reality,4.4
The Quintessential Quintuplets,2019,,92,Comedy,5.8
Bank Robbers: The Last Great Heist,2018,PG-13,60,Comedy,7.6
Pipa,2017,TV-MA,45,Action,7.3
Little Britain,2019,,118,Biography,6.6
The Week Of,2014,TV-MA,112,Drama,5.9
Disjointed,2022,PG-13,50,Drama,7.1
Ibiza,2015,TV-MA,70,Action,8.2
Sonic Prime,2021,TV-MA,30,Animation,6.4
A Boy Called Christmas,2020,TV-MA,40,Comedy,7.5
The Unicorn,2018,,97,Documentary,7.2
Who Rules the World,2017,TV-MA,60,Crime,7.6
Night Stalker: The Hunt for a Serial Killer,2020,TV-MA,116,Action,6.1
Icarus,2020,TV-MA,93,Comedy,6.1
Zoe,2010,TV-14,107,Drama,6.1
Boss,2020,PG-13,25,Animation,8.1
Dogs of Berlin,2020,TV-MA,50,Crime,7.6
Degrassi: Next Class,2019,TV-MA,75,Comedy,7.7
IO,2020,,92,Action,2.9
Voltron: Legendary Defender,2018,R,52,Drama,7.3
Chickenhare and the Hamster of Darkness,2019,,24,Animation,7.7
Untold: Crimes and Penalties,2022,TV-PG,109,Documentary,7.1
Rust Creek,2022,TV-14,115,Crime,4.3
Thirty Nine,2003,TV-MA,29,Comedy,7.7
The Twelve,2018,TV-MA,116,Comedy,5.2
The Life and Movies of Erşan Kuneri,2017,TV-14,30,Comedy,6.7
T-34,2018,TV-MA,94,Comedy,5.2
The Mystery of Marilyn Monroe: The Unheard Tapes,2021,TV-Y7,106,Adventure,6.7
The Siege of Jadotville,2022,PG,360,Adventure,7.3
Oddballs,2019,TV-14,22,Comedy,7.2
World Without End,2022,TV-PG,45,Action,8.3
Utap,2021,TV-PG,189,Documentary,7.5
Les rivières pourpres,2017,TV-MA,120,Documentary,7.9
Night Owls,2018,TV-MA,104,Romance,6
Kengan Ashura,2011,R,56,Crime,8.1
Violet Evergarden: The Movie,2018,TV-MA,542,Action,7.5
Afterlife of the Party,2016,TV-MA,30,Drama,6.8
Gymnastics Academy: A Second Chance!,2019,TV-PG,96,Adventure,4.7
Jaguar,2016,TV-14,23,Animation,8.1
Step Sisters,2022,TV-Y7-FV,91,Animation,6.3
Another,2021,TV-Y7,85,Documentary,7.4
Heartsong,2018,TV-MA,108,Crime,5.9
The Discovery,2022,R,60,Drama,7.7
Bonusfamiljen,2019,,50,Drama,7.4
Out of Death,2022,TV-MA,45,Comedy,6.7
The World of the Married,2018,TV-MA,139,Action,6.7
Baki Hanma,2017,TV-14,241,Documentary,7
Le chant du loup,2022,,101,Documentary,6.2
Ivy + Bean: Doomed to Dance,2016,TV-14,108,Action,7.2
Weightlifting Fairy Kim Bok-Joo,2012,TV-Y7,374,Drama,6.9
Dhamaka,2018,,60,Crime,6.8
The Misfit of Demon King Academy,2015,,90,Comedy,6.2
The ABCs of Death,2019,R,24,Animation,8
Final Girl,2020,TV-MA,140,Animation,8.3
Spirit Untamed,2021,,109,Comedy,5.8
Greenhouse Academy,2022,TV-PG,25,Drama,8.2
Monarca,2021,TV-PG,50,Action,5.7
Secret Obsession,2018,TV-14,108,Comedy,5.4
Just Between Lovers,2012,PG-13,300,Animation,7.5
American Siege,2022,TV-MA,95,Comedy,5.8
Paranormal,2017,TV-14,102,Drama,6.2
Vicky and Her Mystery,2017,TV-MA,44,Comedy,7.6
Unsolved: The Murders of Tupac and the Notorious B.I.G.,2021,,96,Crime,3.2
The Perfect Mother,2020,R,80,Drama,8
Decoupled,2021,,25,Animation,6.7
Trigun,2019,TV-MA,115,Action,6.9
Unfrosted,2022,TV-14,53,Comedy,6
The Devil Judge,2015,TV-G,87,Drama,6.1
Love Tactics,2016,Unrated,60,Comedy,8.4
The Whole Truth,2022,,70,Drama,7.4
John Dies at the End,2021,TV-14,103,Crime,7.1
Drive Hard: The Maloof Way,2020,TV-14,23,Animation,7.3
The Legend of Drunken Master,2012,TV-14,129,Comedy,4.7
A California Christmas: City Lights,2015,Not Rated,84,Horror,4.7
Fatal Affair,2021,R,88,Animation,5.5
The Debt Collector,2017,PG,25,Drama,6.6
A Vigilante,2019,TV-PG,43,Drama,7.8
The Daily Life of the Immortal King,2019,TV-MA,97,Thriller,4.4
The Water Man,2017,TV-14,70,Drama,8.2
Prayers for the Stolen,2021,,91,Action,3.4
Mezarlik,2020,R,45,Drama,8
Great Teacher Onizuka,2021,TV-14,84,Adventure,6.3
The Billion Dollar Code,2018,TV-PG,60,Biography,7.8
Dasvi,2021,TV-MA,192,Drama,5.9
Zindagi inShort,2021,TV-MA,30,Comedy,7.9
Time Trap,1998,,24,Animation,8.2
Watership Down,2021,,75,Crime,8.3
Rose Island,2022,TV-14,97,Comedy,5.2
Maya and the Three,2016,TV-MA,93,Crime,6.2
Inside the World's Toughest Prisons,2012,R,99,Comedy,6.3
Reptile,2022,R,32,Reality,6.2
Flight 7500,1994,TV-14,102,Action,7.5
On Body and Soul,2021,R,106,Comedy,5.5
The Christmas Chronicles,2020,PG-13,89,Thriller,4.5
To All the Boys: P.S. I Still Love You,2018,TV-14,95,Action,5.8
Ludo,2018,Not Rated,91,Crime,5.7
Falling Into Your Smile,2020,R,18,Animation,7.2
El Recluso,2020,TV-14,91,Adventure,5.5
No Good Nick,2021,PG,110,Drama,7.3
Collision,2022,R,105,Crime,7.8
Gone for Good,1999,,24,Animation,8.5
Selena: The Series,2021,TV-MA,267,Biography,8
Bullet Head,2022,TV-MA,125,Comedy,7.3
The Night Before,2020,,116,Comedy,7.1
The Summit of the Gods,2017,,87,Action,6.2
Single Street,2018,Not Rated,18,Documentary,8
El marginal,2018,TV-MA,204,Animation,7.2
Feria: The Darkest Light,2020,TV-PG,117,Adventure,7
Rumspringa,2021,TV-14,30,Animation,8.1
The Great Hack,2016,TV-Y7,47,Documentary,7.1
Lust Stories,2014,,80,Drama,4.8
Downfall: The Case Against Boeing,2017,PG-13,116,Drama,7.5
The Club,2018,Not Rated,104,Adventure,7
Hard Cell,2020,PG,101,Comedy,6
Nailed It!,2020,TV-14,150,Action,7.6
Man Like Mobeen,2021,TV-MA,,Romance,8.4
Girl,2018,,60,Drama,6.9
The Bonfire of Destiny,2019,,30,Comedy,5.9
Boy Swallows Universe,2022,TV-PG,99,Crime,4.1
October Faction,2021,TV-MA,247,Crime,6.3
Close,2020,TV-MA,40,Biography,6.9
Flaked,2017,TV-PG,93,Crime,5.4
Toradora!,2015,R,101,Comedy,6.3
Boy Meets Girl,2021,R,95,Animation,7.5
Yaksha: Ruthless Operations,2019,PG,90,Comedy,6.1
The Incredible Shrinking Man,2016,,60,Crime,8.2
The Christmas Chronicles: Part Two,2022,TV-MA,50,Crime,5.6
Survivor,2022,TV-MA,101,Comedy,5.4
Catching Killers,2019,TV-MA,114,Documentary,7
A Prayer Before Dawn,2011,TV-MA,22,Action,6.9
Trust No One: The Hunt for the Crypto King,2018,TV-PG,120,Drama,6.4
The Courier,2022,,89,Documentary,7.4
Dirty Money,2021,PG-13,55,Drama,7.8
Love on the Spectrum U.S.,2022,TV-14,25,Comedy,6.3
Noragami,2018,TV-MA,33,Game,7.4
Journal 64,2017,TV-PG,21,Comedy,8
The Trial,2018,TV-MA,105,Drama,7.1
Chambers,2019,R,48,Drama,7.6
Sierra Burgess Is a Loser,2020,,39,Adventure,6.1
The Smurfs,2019,TV-MA,94,Action,5.7
Trouble,2016,TV-MA,30,Comedy,7.2
Nightflyers,2008,TV-MA,24,Animation,8
Shimmer Lake,2014,TV-14,95,Comedy,7.1
Madame Claude,2022,R,125,Action,6.2
Pokémon Master Journeys,1957,TV-14,81,Horror,7.6
Tattoo Redo,2020,Not Rated,112,Adventure,6
Time to Hunt,2015,PG,96,Action,5.6
Concrete Cowboy,2021,PG-13,,Documentary,7.1
Our Souls at Night,2017,TV-MA,116,Action,6.8
Trees of Peace,2022,R,90,Documentary,6.3
Friendzone,2019,TV-MA,99,Action,4.8
MI-5,2018,R,60,Documentary,8.1
Skiptrace,2022,TV-14,40,Documentary,8.2
Grand Designs,2014,TV-14,24,Animation,7.9
Paranoid,2018,TV-14,119,Crime,7.4
Do You Like Brahms?,2019,Not Rated,52,Crime,7.2
Tall Girl 2,2019,TV-MA,60,Drama,6.4
Atlas,2020,TV-MA,163,Action,7.3
Self Made: Inspired by the Life of Madam C.J. Walker,2018,Not Rated,105,Comedy,5.8
Free Rein,1981,PG-13,30,Animation,7.2
Then Came You,2019,TV-Y,87,Animation,5.8
The Great Train Robbery,2018,,60,Drama,5.8
Ouran High School Host Club,2017,TV-14,86,Action,6.3
Untold: Malice at the Palace,2021,Not Rated,112,Biography,5.4
The Queen of Black Magic,2021,TV-MA,50,Animation,7.6
The Indian Detective,2021,TV-Y7,,Reality,5.9
Iron Chef: Quest for an Iron Legend,2020,TV-MA,134,Action,6.3
Fight for My Way,2020,TV-MA,111,Drama,6.3
Samurai Rabbit: The Usagi Chronicles,2017,R,103,Drama,6.9
Spriggan,2021,TV-14,97,Drama,6.4
The Last Mercenary,2021,TV-MA,88,Comedy,5.9
Leave the World Behind,2015,TV-MA,104,Action,6.2
High-Rise Invasion,2016,R,107,Action,5.6
Initial D,1999,PG-13,50,Documentary,8.5
Lift,2016,TV-G,45,Crime,6.6
Great Pretender,2020,,65,Drama,7.6
The Last Summer,2022,,97,Comedy,4.7
The Puppet Master: Hunting the Ultimate Conman,2020,,191,Biography,7.3
The Movies That Made Us,2017,TV-MA,26,Action,7.1
The Gunman,2018,TV-G,97,Adventure,6.9
Badla,2013,Not Rated,90,Biography,7.3
White as Snow,2006,Not Rated,24,Animation,8.2
A Whisker Away,2021,TV-14,68,Documentary,7.5
Centaurworld,2019,TV-MA,99,Drama,6.5
Little Evil,2017,Not Rated,44,Comedy,6.5
Sightless,2022,,45,Game,7.2
People Like Us,2017,TV-G,70,Comedy,8.1
Green Eggs and Ham,2022,,25,Animation,6.4
Our Great National Parks,2022,TV-Y7,45,Animation,6.9
Silverton Siege,2021,TV-MA,110,Action,5.3
In the Land of Saints and Sinners,2021,,25,Animation,6.5
The Open House,2005,TV-MA,107,Action,6.3
Ultraman,2020,,23,Animation,7.9
Blade of the Immortal,2019,TV-MA,109,Comedy,5.5
Viceroy's House,2020,TV-14,50,Drama,8.5
Record of Youth,2021,TV-MA,94,Drama,5.7
Age of Youth,2022,TV-PG,127,Documentary,7
Liar,2019,TV-MA,44,Documentary,7.6
Yara,2015,TV-PG,115,Action,5.8
Spoiled Brats,2019,R,118,Crime,7.8
Bordertown: The Mural Murders,2019,Not Rated,112,Comedy,5.3
Stone of Destiny,2020,,104,Animation,6.7
Haunted,2021,TV-PG,25,Animation,7.6
Midnight Diner,2017,TV-Y7,94,Comedy,5.7
Death Warrant,2020,TV-MA,89,Drama,5.5
DI4RIES,2012,Unrated,114,Comedy,7
Last Breath,2019,PG-13,26,Animation,8.1
The Redeem Team,2022,TV-Y7,50,Documentary,7.9
Ingobernable,2022,TV-PG,100,Action,6.2
Painkiller,2016,TV-MA,99,Drama,6.1
Kotaro Lives Alone,2021,,125,Drama,5.2
Power Rangers Dino Charge,2018,TV-MA,94,Horror,3.3
The Upshaws,2022,TV-MA,60,Drama,7.1
She's Gotta Have It,2019,,25,Animation,6.8
Cheer,2017,TV-14,140,Action,6.7
Conversations with a Killer: The John Wayne Gacy Tapes,2017,R,106,Biography,6.7
Bling Empire,2020,Not Rated,70,Drama,7.2
Sick Note,2016,TV-14,60,Comedy,8.3
Retribution,2020,TV-14,50,Thriller,6.4
Tabula Rasa,2021,,96,Crime,6.3
"Espejo, Espejo",2021,TV-14,95,Comedy,6
BRZRKR,2021,TV-14,107,Crime,6.2
Altrimenti ci arrabbiamo,2008,,96,Adventure,6.7
Power Rangers Ninja Steel,2018,PG,24,Horror,4.6
Is It Cake?,2009,TV-MA,24,Drama,8.6
Hell Is Other People,1990,,89,Action,5.6
Backpackers,2022,R,30,Comedy,7.1
The 8th Night,2019,,90,Documentary,7.7
Carmen Sandiego,2017,,40,Crime,7
Seal Team,2022,,114,Action,4.8
Voice,2022,TV-MA,27,Animation,8.4
The Frankenstein Chronicles,2015,TV-14,21,Action,6.4
Ip Man 3,2021,TV-Y7,30,Comedy,6.8
Cobalt Blue,2017,TV-14,30,Comedy,6.8
Blue Miracle,2020,TV-MA,60,Documentary,8.1
The Tale of Nokdu,2022,TV-MA,183,Documentary,7.1
"Crouching Tiger, Hidden Dragon: Sword of Destiny",2021,TV-MA,38,Reality,5.8
She Was Pretty,2017,TV-MA,30,Comedy,6.8
Bad Blood,2016,TV-MA,231,Drama,7
Fast & Furious Spy Racers,2017,TV-MA,60,Drama,8
Love Alarm,2022,TV-MA,79,Comedy,5.4
Ghost in the Shell: Stand Alone Complex,2022,,90,Action,2.9
Sandy Wexler,2017,,21,Action,5.8
Extinct,2022,TV-Y7,40,Reality,5.7
Looking Glass,2019,TV-PG,60,Crime,7.8
The Coldest Game,2022,,96,Comedy,5.7
Memories of the Alhambra,2021,TV-MA,115,Horror,5.3
6 Below: Miracle on the Mountain,2014,TV-MA,11,Animation,6.8
King of Stonks,2019,TV-Y7,22,Animation,7.9
I Am the Pretty Thing That Lives in the House,2022,TV-Y7-FV,112,Comedy,4.5
Kipo and the Age of Wonderbeasts,2021,TV-MA,101,Animation,5.5
Hellsing,2017,TV-Y7,60,Action,7.6
The Breadwinner,2015,TV-14,48,Crime,7.2
Blood & Water,2015,TV-MA,105,Action,7
Biohackers,2022,PG-13,112,Drama,6.5
Dilwale,2021,TV-MA,95,Adventure,6.6
My Next Guest Needs No Introduction with David Letterman,2019,TV-PG,30,Action,7.8
AlRawabi School for Girls,2016,,96,Action,6.1
Lovestruck in the City,2015,PG-13,60,Comedy,7.6
How to Become a Tyrant,2017,,47,Crime,7.5
Bulgasal,2019,TV-MA,23,Animation,5.8
Dragon's Lair: The Movie,2019,TV-Y7-FV,50,Comedy,6.8
Tramps,2021,TV-MA,94,Action,2.8
I Lost My Body,2002,R,24,Animation,8.5
Gantz: O,2017,TV-MA,130,Comedy,5.2
My Father's Dragon,2021,TV-14,84,Animation,5.4
The Dating Game,2018,TV-Y7,103,Mystery,4.6
The Big Show Show,2019,R,102,History,6.2
Next Door,2018,TV-MA,60,Drama,7.8
SKY Castle,2017,TV-MA,98,Biography,5.7
How I Became a Super Hero,2022,PG-13,280,Comedy,6.6
Conversations with a Killer: The Ted Bundy Tapes,2016,TV-MA,89,Drama,4.6
Are You the One?,2020,,24,Animation,8.3
Dive Club,2001,TV-Y7,23,Animation,7.8
The Stand In,2017,TV-MA,94,Animation,7.7
The Ultimatum: Marry or Move On,2020,PG-13,53,Drama,6.6
The Chronicles of Narnia: The Silver Chair,2020,TV-MA,44,Drama,6.8
Scissor Seven,2015,TV-MA,158,Action,5
Seaspiracy,2018,Not Rated,60,Talk,7.8
The Circle,2021,TV-MA,291,Drama,7.4
Bad and Crazy,2020,TV-14,30,Drama,7.6
Exception,2021,TV-14,,Documentary,7.4
Sunny,2021,TV-14,60,Drama,7.3
Halo 4: Forward Unto Dawn,2016,,82,Adventure,6.5
The King's Avatar,2019,,81,Animation,7.5
Chewing Gum,2016,TV-MA,95,Animation,7.1
Earwig and the Witch,2020,,,Comedy,6.3
Resident Evil: Infinite Darkness,2005,TV-G,75,Horror,6.4
Monster,2018,Unrated,75,Drama,8.6
Last Chance U,2020,,97,Action,5.8
DC Super Hero Girls,2019,TV-MA,236,Documentary,7.7
Alex Strangelove,2014,TV-MA,41,Game,6.5
You Are SO Not Invited to My Bat Mitzvah!,2021,TV-14,27,Adventure,6.2
The Other Side of the Wind,2020,TV-PG,101,Comedy,4.7
Day of the Dead: Bloodline,2022,R,60,Reality,5.4
Afro Samurai,2018,,13,Animation,8.4
The Octonauts,2021,TV-14,89,Documentary,8.1
Women of the Night,2020,TV-14,48,Game,7.3
